sample_id,tsne_1,tsne_2
LS-15005H_S01_E1-50,18.5496,15.0197
LS-15005H_S02_E1-50,-0.261549,34.6124
LS-15005H_S03_E1-50,41.8726,1.4478
LS-15005H_S04_E1-50,39.5675,3.36444
LS-15005H_S05_E1-50,-12.5414,40.1486
LS-15005H_S06_E1-50,6.98329,35.1667
LS-15005H_S07_E1-50,42.5064,-2.43503
LS-15005H_S10_E1-50,1.18522,-9.35525
LS-15005H_S11_E1-50,0.332424,-4.0795
LS-15005H_S12_E1-50,-1.37935,37.5473
LS-15005H_S14_E1-50,11.1891,36.5195
LS-15005H_S15_E1-50,19.7087,18.4719
LS-15005H_S17_E1-50,10.4306,-20.5811
LS-15005H_S18_E1-50,37.5475,5.48624
LS-15005H_S19_E1-50,35.5974,3.9131
LS-15005H_S20_E1-50,1.18457,-8.94866
LS-15005H_S21_E1-50,9.76783,41.4607
LS-15005H_S22_E1-50,35.505,4.64909
LS-15005H_S23_E1-50,-2.73665,35.4933
LS-15005H_S24_E1-50,26.8832,30.3228
LS-15005H_S25_E1-50,-2.48074,-1.62965
LS-15005H_S26_E1-50,11.0403,-20.8971
LS-15005H_S27_E1-50,10.0055,41.0519
LS-15005H_S28_E1-50,-2.94819,35.578
LS-15005H_S29_E1-50,2.82831,-0.120744
LS-15005H_S30_E1-50,-1.5593,-9.41345
LS-15005H_S31_E1-50,18.5722,14.8931
LS-15005H_S32_E1-50,40.988,17.2875
LS-15005H_S33_E1-50,-5.5864,38.0906
LS-15005H_S34_E1-50,-48.8843,4.05057
LS-15005H_S35_E1-50,-3.04316,51.8826
LS-15005H_S36_E1-50,0.779763,34.8776
LS-15005H_S37_E1-50,11.5707,-44.225
LS-15005H_S38_E1-50,-4.76732,-26.0761
LS-15005H_S39_E1-50,-17.4598,-13.316
LS-15005H_S40_E1-50,36.6922,16.9598
LS-15005H_S41_E1-50,-1.5088,-35.1818
LS-15005H_S42_E1-50,12.9008,4.67093
LS-15005H_S43_E1-50,-17.5629,-13.2154
LS-15005H_S44_E1-50,-3.22135,51.8968
LS-15005H_S45_E1-50,19.1945,-11.6407
LS-15005H_S46_E1-50,19.5334,-29.4847
LS-15005H_S47_E1-50,-26.8532,-2.17705
LS-15005H_S48_E1-50,35.2327,-21.7548
LS-15005H_S50_E1-50,1.30795,24.0213
LS-15005H_S51_E1-50,-30.2877,-22.2443
LS-15005H_S54_E1-50,3.50943,25.5813
LS-15005H_S55_E1-50,21.0611,-8.1941
LS-15005H_S56_E1-50,27.1992,30.9075
LS-15005H_S57_E1-50,-18.5585,-17.7811
LS-15005H_S58_E1-50,1.04112,-25.4819
LS-15005H_S59_E1-50,6.87202,24.7277
LS-15005H_S60_E1-50,-3.37517,-31.86
LS-15005H_S61_E1-50,-50.6505,0.0479462
LS-15005H_S62_E1-50,11.1456,-46.9766
LS-15005H_S63_E1-50,21.5385,-7.87124
LS-15005H_S81_E1-50,11.6789,-45.4742
LS-15005H_S82_E1-50,-0.779146,-28.5018
LS-15005H_S83_E1-50,0.508699,35.2086
LS-15005H_S84_E1-50,13.9232,5.20718
LS-15005H_S85_E1-50,11.1194,-44.0778
LS-15005H_S86_E1-50,-15.8002,12.9883
LS-15005H_S88_E1-50,28.9188,31.1219
LS-15028_S01_E1-50,7.78906,35.2729
LS-15028_S02_E1-50,1.25588,-8.91196
LS-15028_S03_E1-50,11.2746,37.1826
LS-15028_S04_E1-50,35.1198,5.43834
LS-15028_S05_E1-50,10.0976,40.9088
LS-15028_S06_E1-50,-12.8722,32.4623
LS-15028_S07_E1-50,7.28391,35.1755
LS-15028_S33_E1-50,1.26761,-9.30616
LS-15028_S34_E1-50,8.99727,44.0361
LS-15028_S35_E1-50,10.7997,18.2108
LS-15028_S38_E1-50,1.46165,-8.70907
LS-15028_S39_E1-50,-2.42812,36.7088
LS-15028_S40_E1-50,42.4476,18.3267
LS-15028_S42_E1-50,2.80028,0.0509304
LS-15028_S43_E1-50,2.75217,0.291385
LS-15028_S44_E1-50,1.48203,-9.34021
LS-15028_S46_E1-50,5.71151,42.9218
LS-15028_S47_E1-50,9.99001,41.1993
LS-15028_S48_E1-50,42.3375,18.2201
LS-15028_S49_E1-50,-20.2855,10.2208
LS-15028_S50_E1-50,8.89783,42.937
LS-15028_S51_E1-50,-10.2122,31.201
LS-15028_S52_E1-50,42.2178,1.18345
LS-15028_S53_E1-50,37.5343,5.92877
LS-15028_S54_E1-50,37.4192,5.73168
LS-15028_S55_E1-50,-2.23576,-1.94751
LS-15028_S58_E1-50,10.4492,44.1081
LS-15028_S59_E1-50,2.84045,-10.0338
LS-15028_S60_E1-50,5.5867,42.9153
LS-15028_S61_E1-50,10.3962,-20.8469
LS-15028_S62_E1-50,0.638918,-9.82574
LS-15028_S63_E1-50,1.67651,-9.23807
LS-15028_S64_E1-50,-25.7125,-36.4379
LS-15028_S65_E1-50,12.3111,-45.4145
LS-15028_S67_E1-50,-28.087,5.15285
LS-15028_S71_E1-50,-9.1126,-28.5837
LS-15028_S73_E1-50,18.6661,-29.6017
LS-15028_S74_E1-50,8.66456,8.53211
LS-15028_S75_E1-50,-5.75626,-26.5382
LS-15028_S76_E1-50,-27.1225,-2.5162
LS-15028_S78_E1-50,17.7925,7.76072
LS-15028_S79_E1-50,0.57755,24.3452
LS-15028_S80_E1-50,30.1255,32.4748
LS-15028_S81_E1-50,19.8853,-7.95585
LS-15028_S82_E1-50,0.226418,33.7137
LS-15028_S83_E1-50,-0.107267,33.7898
LS-15028_S84_E1-50,0.204201,-28.4607
LS-15028_S86_E1-50,-49.6074,1.65642
LS-15028_S87_E1-50,19.782,-7.00454
LS-15028_S88_E1-50,38.6051,16.3656
LS-15028_S89_E1-50,-2.82652,51.8966
LS-15028_S90_E1-50,3.52587,22.328
LS-15028_S91_E1-50,-28.4194,-2.76283
LS-15028_S92_E1-50,-49.8071,1.20421
LS-15028_S93_E1-50,5.82793,22.1415
LS-15028_S94_E1-50,-17.7046,-13.453
LS-15028_S95_E1-50,10.9268,-46.6185
LS-15028_S96_E1-50,39.2033,17.1728
LS-15039_S01_E1-50,14.6117,6.40519
LS-15039_S02_E1-50,17.4306,7.26424
LS-15039_S04_E1-50,-34.1432,3.07027
LS-15039_S05_E1-50,-6.36655,-31.1248
LS-15039_S08_E1-50,27.392,31.0495
LS-15039_S09_E1-50,15.0421,6.61599
LS-15039_S10_E1-50,-9.24686,-33.6644
LS-15039_S12_E1-50,-9.3602,9.58432
LS-15039_S13_E1-50,-34.1611,3.34071
LS-15039_S16_E1-50,39.0977,14.7977
LS-15039_S17_E1-50,1.39948,-31.9231
LS-15039_S18_E1-50,10.3596,-44.0715
LS-15039_S24_E1-50,33.81,-23.1575
LS-15039_S25_E1-50,-3.73399,27.019
LS-15039_S26_E1-50,7.51697,34.4499
LS-15039_S30_E1-50,7.10413,26.1786
LS-15039_S32_E1-50,29.0407,33.4159
LS-15039_S37_E1-50,9.78059,24.9438
LS-15039_S38_E1-50,-26.728,2.45015
LS-15039_S39_E1-50,7.01767,26.146
LS-15039_S42_E1-50,-5.6945,-28.8087
LS-15039_S43_E1-50,29.0062,33.0934
LS-15039_S47_E1-50,-5.3174,-30.2503
LS-15039_S50_E1-50,-0.339087,-32.6118
LS-15039_S51_E1-50,-24.4425,-1.82715
LS-15039_S52_E1-50,-33.2262,2.80122
LS-15039_S53_E1-50,0.87955,-26.6171
LS-15039_S54_E1-50,12.4488,4.88362
LS-15039_S55_E1-50,21.1311,-8.05351
LS-15039_S56_E1-50,27.4574,29.9595
LS-15039_S57_E1-50,-1.46723,-36.3073
LS-15039_S58_E1-50,9.16029,12.4973
LS-15039_S61_E1-50,8.50695,24.9639
LS-15039_S62_E1-50,9.39511,-47.136
LS-15039_S82_E1-50,12.9439,2.52074
LS-15039_S83_E1-50,13.9651,-11.1621
LS-15039_S85_E1-50,-6.08222,13.9917
LS-15039_S86_E1-50,12.2438,-45.6722
LS-15039_S87_E1-50,-3.34471,-26.3391
LS-15039_S88_E1-50,-10.0405,-27.9739
LS-15039_S89_E1-50,38.5496,16.5921
LS-15039_S90_E1-50,18.6712,-29.4721
LS-15039_S91_E1-50,-20.9758,19.1505
LS-15039_S92_E1-50,-7.86708,-28.4515
LS-15039_S94_E1-50,-2.88712,-26.3425
LS-15039_S95_E1-50,-0.528319,-28.2986
LS-15039_S96_E1-50,-1.27243,-34.967
LS-15040_S01_E1-50,-29.1828,3.93616
LS-15040_S02_E1-50,14.8887,6.48545
LS-15040_S05_E1-50,-26.7798,2.69111
LS-15040_S06_E1-50,26.5338,29.8677
LS-15040_S07_E1-50,-3.86142,-30.9678
LS-15040_S08_E1-50,-24.1165,-35.6272
LS-15040_S10_E1-50,-5.83112,-31.6211
LS-15040_S11_E1-50,-18.2537,7.29534
LS-15040_S12_E1-50,8.38229,-47.7881
LS-15040_S14_E1-50,-27.0638,1.55702
LS-15040_S16_E1-50,35.5632,-21.6512
LS-15040_S17_E1-50,1.15862,-31.8725
LS-15040_S18_E1-50,-30.4413,9.27403
LS-15040_S19_E1-50,14.8119,6.36444
LS-15040_S20_E1-50,-29.6624,4.71023
LS-15040_S22_E1-50,17.7575,7.39004
LS-15040_S23_E1-50,-8.7929,-27.1201
LS-15040_S25_E1-50,-33.9304,3.36533
LS-15040_S26_E1-50,-6.48473,12.5265
LS-15040_S27_E1-50,-28.508,-0.438944
LS-15040_S28_E1-50,-27.2651,0.947651
LS-15040_S29_E1-50,3.73942,-31.4228
LS-15040_S34_E1-50,0.148495,-31.4886
LS-15040_S35_E1-50,-0.0626035,32.6027
LS-15040_S37_E1-50,19.8612,10.7566
LS-15040_S40_E1-50,27.0295,33.602
LS-15040_S42_E1-50,15.9528,10.4324
LS-15040_S43_E1-50,7.66581,13.418
LS-15040_S44_E1-50,-9.41626,-30.9289
LS-15040_S45_E1-50,0.332543,33.2022
LS-15040_S46_E1-50,3.39551,-31.4663
LS-15040_S47_E1-50,0.509186,35.0365
LS-15040_S51_E1-50,12.2711,4.11039
LS-15040_S52_E1-50,-5.4397,-22.8089
LS-15040_S53_E1-50,-28.1441,-5.1541
LS-15040_S54_E1-50,21.568,-8.24801
LS-15040_S55_E1-50,-3.98892,54.015
LS-15040_S56_E1-50,26.7834,-10.7177
LS-15040_S57_E1-50,3.26414,23.2693
LS-15040_S58_E1-50,-0.622577,-32.5798
LS-15040_S59_E1-50,7.72319,-47.5348
LS-15040_S60_E1-50,-20.5074,10.2533
