sample_id,tsne_1,tsne_2
LS-15040_S61_E1-50,-0.462183,-33.6684
LS-15040_S63_E1-50,19.2317,-15.6422
LS-15040_S65_E1-50,39.1507,16.7952
LS-15040_S66_E1-50,-18.3357,-18.3235
LS-15040_S67_E1-50,10.2119,-43.6057
LS-15040_S68_E1-50,-8.13835,-27.4035
LS-15040_S69_E1-50,-49.6215,1.56839
LS-15040_S70_E1-50,24.2309,-16.2076
LS-15040_S71_E1-50,-29.1905,-5.7095
LS-15040_S72_E1-50,19.2855,-11.5471
LS-15040_S90_E1-50,0.291519,-29.082
LS-15040_S91_E1-50,-3.4069,-33.1735
LS-15040_S93_E1-50,11.7154,-43.8624
LS-15040_S94_E1-50,8.86603,24.9234
LS-15051_S02_E1-50,13.4804,5.41552
LS-15051_S03_E1-50,-18.2939,-17.7339
LS-15051_S05_E1-50,18.9595,-29.6471
LS-15051_S07_E1-50,-36.7999,-22.2419
LS-15051_S08_E1-50,-32.1753,3.03291
LS-15051_S11_E1-50,-27.4305,-6.94621
LS-15051_S12_E1-50,-1.88727,-30.1489
LS-15051_S14_E1-50,18.6157,-29.2388
LS-15051_S15_E1-50,44.273,0.47423
LS-15051_S16_E1-50,-0.720979,-31.6016
LS-15051_S17_E1-50,-9.93253,-23.8903
LS-15051_S20_E1-50,16.5703,7.25474
LS-15051_S22_E1-50,-30.2657,9.60075
LS-15051_S23_E1-50,-6.27637,38.5977
LS-15051_S25_E1-50,27.4834,32.4662
LS-15051_S26_E1-50,-27.3055,0.482935
LS-15051_S29_E1-50,0.531607,35.6457
LS-15051_S30_E1-50,14.9434,6.55441
LS-15051_S31_E1-50,-9.13611,-32.9432
LS-15051_S32_E1-50,-7.71998,11.1291
LS-15051_S33_E1-50,27.7361,32.2252
LS-15051_S34_E1-50,-17.2542,15.5953
LS-15051_S35_E1-50,-19.9553,19.1519
LS-15051_S38_E1-50,-9.7006,-35.4558
LS-15051_S39_E1-50,0.553631,34.9853
LS-15051_S41_E1-50,26.9688,30.8148
LS-15051_S42_E1-50,15.5743,20.2891
LS-15051_S45_E1-50,-26.9425,0.278949
LS-15051_S46_E1-50,9.18014,23.226
LS-15051_S47_E1-50,-8.49207,-34.7841
LS-15051_S49_E1-50,28.4778,33.8346
LS-15051_S50_E1-50,-19.5084,8.2664
LS-15051_S51_E1-50,-26.6285,2.14765
LS-15051_S52_E1-50,4.7275,-26.8651
LS-15051_S53_E1-50,-29.2157,3.49254
LS-15051_S54_E1-50,-17.4047,15.7747
LS-15051_S60_E1-50,10.8523,-46.2761
LS-15051_S64_E1-50,27.7323,32.251
LS-15051_S68_E1-50,-13.9831,11.2599
LS-15051_S71_E1-50,9.55544,22.2563
LS-15051_S72_E1-50,27.7345,30.0712
LS-15051_S77_E1-50,44.7808,-2.17034
LS-15051_S78_E1-50,17.8833,7.65092
LS-15051_S79_E1-50,-20.1719,19.3531
LS-15051_S90_E1-50,-26.4406,2.33293
LS-15051_S91_E1-50,-27.846,-1.10375
LS-15051_S92_E1-50,-19.054,11.2008
LS-15051_S95_E1-50,-18.0659,6.3471
LS-15051_S96_E1-50,38.439,16.4646
LS-15088_S01_E1-50,-18.0473,-14.7318
LS-15088_S02_E1-50,11.7952,-46.8109
LS-15088_S03_E1-50,14.8912,-10.9486
LS-15088_S06_E1-50,-1.81861,-25.5015
LS-15088_S08_E1-50,35.3581,-22.8723
LS-15088_S17_E1-50,1.58543,-28.0729
LS-15088_S18_E1-50,-5.41547,-24.7022
LS-15088_S20_E1-50,-32.9641,6.04209
LS-15088_S21_E1-50,11.6623,8.31576
LS-15088_S22_E1-50,-9.30199,-25.5848
LS-15088_S23_E1-50,-50.1635,-0.697318
LS-15088_S25_E1-50,-16.3751,-6.75715
LS-15088_S27_E1-50,19.064,-7.52563
LS-15088_S29_E1-50,-3.95028,51.1531
LS-15088_S30_E1-50,18.5429,-7.14991
LS-15088_S31_E1-50,-28.4229,-4.49795
LS-15088_S32_E1-50,36.8415,16.3051
LS-15088_S33_E1-50,-8.8888,-27.3516
LS-15088_S34_E1-50,-17.5468,-16.3228
LS-15088_S35_E1-50,-0.980457,-31.5616
LS-15088_S36_E1-50,-26.2284,-4.96665
LS-15088_S37_E1-50,13.9299,-12.4079
LS-15088_S39_E1-50,-4.29546,-29.7962
LS-15088_S40_E1-50,39.0251,15.2985
LS-15088_S41_E1-50,13.3203,2.45483
LS-15088_S42_E1-50,12.1101,-45.4918
LS-15088_S44_E1-50,-34.3424,-2.24065
LS-15088_S45_E1-50,16.3931,-9.46396
LS-15088_S46_E1-50,-49.8986,-0.0307176
LS-15088_S47_E1-50,12.7661,-44.9591
LS-15088_S49_E1-50,-7.49875,-24.0527
LS-15088_S50_E1-50,1.10957,-27.5093
LS-15088_S51_E1-50,-16.9688,-16.2098
LS-15088_S52_E1-50,-0.259587,-26.4607
LS-15088_S53_E1-50,-8.15531,-27.1486
LS-15088_S54_E1-50,-31.4413,-22.7494
LS-15088_S55_E1-50,25.6938,-14.9756
LS-15088_S56_E1-50,29.7821,34.1612
LS-15088_S58_E1-50,18.7418,-6.61014
LS-15088_S59_E1-50,-3.26351,51.8537
LS-15088_S60_E1-50,-16.7897,-14.2684
LS-15088_S61_E1-50,9.0296,-48.4271
LS-15088_S62_E1-50,-26.5573,-3.15383
LS-15088_S64_E1-50,29.6968,33.0389
LS-15088_S65_E1-50,-5.24656,-25.0555
LS-15088_S66_E1-50,11.2762,-46.706
LS-15088_S67_E1-50,-17.9819,-15.0606
LS-15088_S68_E1-50,-7.15059,-25.2761
LS-15088_S69_E1-50,-25.4945,-1.05988
LS-15088_S70_E1-50,27.5279,-14.3909
LS-15088_S71_E1-50,27.6395,-14.0309
LS-15088_S72_E1-50,29.3187,33.9931
LS-15088_S73_E1-50,12.5799,3.61038
LS-15088_S75_E1-50,-49.1774,0.911206
LS-15088_S76_E1-50,20.4349,-9.26289
LS-15088_S77_E1-50,25.4124,-14.1448
LS-15088_S79_E1-50,11.0413,-48.2845
LS-15088_S80_E1-50,29.312,32.5722
LS-15088_S81_E1-50,-4.09377,50.914
LS-15088_S82_E1-50,12.9756,2.58291
LS-15088_S83_E1-50,-2.68581,54.0663
LS-15088_S84_E1-50,-0.433911,-30.4896
LS-15088_S85_E1-50,-31.2732,-7.2775
LS-15088_S86_E1-50,27.4709,-13.3056
LS-15088_S87_E1-50,18.8921,-15.5558
LS-15088_S89_E1-50,20.1005,16.2189
LS-15088_S90_E1-50,-33.987,5.02988
LS-15088_S91_E1-50,-1.1322,-25.9668
LS-15088_S92_E1-50,18.4989,-10.1441
LS-15088_S93_E1-50,1.39553,-28.3328
LS-15088_S94_E1-50,-31.0814,-23.9447
LS-15088_S95_E1-50,-0.722232,-30.3624
LS-15088_S96_E1-50,38.5113,17.7303
LS-15092_S01_E1-50,-38.4613,-21.4335
LS-15092_S02_E1-50,-6.17001,-31.5444
LS-15092_S03_E1-50,-26.7385,-2.24059
LS-15092_S04_E1-50,-50.0519,0.719591
LS-15092_S05_E1-50,21.2774,-9.98028
LS-15092_S06_E1-50,1.14366,-27.7106
LS-15092_S17_E1-50,-7.58216,-25.3045
LS-15092_S18_E1-50,-6.9111,-24.8705
LS-15092_S19_E1-50,-31.2684,-23.5729
LS-15092_S20_E1-50,0.343321,-25.98
LS-15092_S21_E1-50,0.209643,-29.2715
LS-15092_S22_E1-50,-2.65075,-31.3749
LS-15092_S23_E1-50,-17.326,-17.9067
LS-15092_S25_E1-50,-9.89404,-23.0817
LS-15092_S26_E1-50,-32.2943,-21.9647
LS-15092_S27_E1-50,-17.2581,-15.2883
LS-15092_S28_E1-50,18.6842,-29.7853
LS-15092_S29_E1-50,1.28906,-27.9668
LS-15092_S30_E1-50,16.0673,-11.7238
LS-15092_S31_E1-50,20.0822,-16.0303
LS-15092_S32_E1-50,29.5858,30.672
LS-15092_S33_E1-50,17.1883,-10.6998
LS-15092_S34_E1-50,16.9268,-6.37732
LS-15092_S35_E1-50,-17.5832,-13.9356
LS-15092_S36_E1-50,25.8881,-9.16183
LS-15092_S37_E1-50,-7.73346,-23.5683
LS-15092_S39_E1-50,9.21923,-22.2798
LS-15092_S41_E1-50,-24.6908,-1.59301
LS-15092_S42_E1-50,18.7569,-5.02256
LS-15092_S43_E1-50,12.1168,-44.8709
LS-15092_S44_E1-50,18.173,-10.7291
LS-15092_S45_E1-50,15.2504,-10.6505
LS-15092_S46_E1-50,-2.79239,-26.3399
LS-15092_S47_E1-50,11.2176,8.42265
LS-15092_S48_E1-50,29.8881,32.17
LS-15092_S49_E1-50,-18.0402,-17.1428
LS-15092_S50_E1-50,18.3332,12.0412
LS-15092_S51_E1-50,17.2926,-9.50074
LS-15092_S52_E1-50,0.395207,-26.961
LS-15092_S53_E1-50,-5.83407,-31.2273
LS-15092_S58_E1-50,-0.492157,-28.4679
LS-15092_S59_E1-50,-0.896256,-28.0886
LS-15092_S61_E1-50,-17.6155,-16.2034
LS-15092_S62_E1-50,-26.5799,-2.46253
LS-15092_S63_E1-50,-25.8217,-3.22332
LS-15092_S65_E1-50,0.421985,-28.2092
LS-15092_S66_E1-50,10.898,-47.2636
LS-15092_S67_E1-50,-2.36527,-30.1562
LS-15092_S69_E1-50,7.57256,-46.9422
LS-15092_S71_E1-50,-5.1939,-24.3638
LS-15092_S72_E1-50,28.9391,32.5183
LS-15092_S73_E1-50,-50.3879,-0.26383
LS-15092_S74_E1-50,-17.6623,-13.9333
LS-15092_S75_E1-50,16.8683,-8.97679
LS-15092_S76_E1-50,-5.60094,-25.5819
LS-15092_S77_E1-50,20.5072,-31.0384
LS-15092_S78_E1-50,-1.96024,-31.307
LS-15092_S79_E1-50,16.7847,-10.816
LS-15092_S81_E1-50,-15.9864,-13.1391
LS-15092_S83_E1-50,11.1349,8.36032
LS-15092_S84_E1-50,-18.8404,-17.5173
LS-15092_S85_E1-50,20.1254,-31.5808
LS-15092_S86_E1-50,-17.2614,-15.4083
LS-15092_S87_E1-50,2.78759,-25.4195
LS-15092_S89_E1-50,-4.48948,-25.78
LS-15092_S90_E1-50,-16.9414,-14.564
LS-15092_S91_E1-50,-38.246,-21.5494
LS-15092_S92_E1-50,1.6755,-30.8654
LS-15092_S93_E1-50,14.1999,-12.3926
LS-15092_S95_E1-50,20.7168,-33.0581
LS-15093_S09_E1-50,28.4724,31.0324
LS-15093_S10_E1-50,20.2769,-9.71474
LS-15093_S11_E1-50,-10.9734,32.6037
LS-15093_S12_E1-50,27.7573,-6.48916
LS-15093_S13_E1-50,-2.89895,-25.4083
LS-15093_S15_E1-50,0.0700798,-24.6937
LS-15093_S18_E1-50,21.0759,-8.98412
LS-15093_S19_E1-50,5.30528,21.1315
LS-15093_S20_E1-50,-0.933788,-27.4647
LS-15093_S21_E1-50,-33.7423,7.80433
LS-15093_S22_E1-50,-3.15591,-26.0984
LS-15093_S23_E1-50,15.6726,-12.4649
LS-15093_S24_E1-50,-26.2533,-2.81332
LS-15093_S26_E1-50,2.82038,-25.4934
LS-15093_S27_E1-50,20.3367,-8.45421
LS-15093_S28_E1-50,-4.52934,52.1823
LS-15093_S29_E1-50,-2.41198,-29.5855
LS-15093_S30_E1-50,24.1792,-16.2115
LS-15093_S31_E1-50,-28.8361,-4.98095
LS-15093_S32_E1-50,18.956,-15.5493
LS-15093_S34_E1-50,-0.777398,-28.5453
LS-15093_S35_E1-50,11.8976,-46.1182
LS-15093_S36_E1-50,2.11533,-25.7966
LS-15093_S37_E1-50,0.0830123,-26.9541
LS-15093_S38_E1-50,-8.83037,-35.8864
LS-15093_S39_E1-50,-29.1338,7.82198
LS-15093_S42_E1-50,2.54225,-25.7059
LS-15093_S43_E1-50,2.70398,-24.646
LS-15093_S44_E1-50,22.9284,-9.89256
LS-15093_S45_E1-50,12.5197,3.39781
LS-15093_S46_E1-50,-0.296255,-32.7625
LS-15093_S47_E1-50,20.2546,-30.8821
LS-15093_S48_E1-50,-2.52556,-31.0554
LS-15093_S50_E1-50,-25.8217,-3.81995
LS-15093_S51_E1-50,7.7108,-47.8279
LS-15093_S53_E1-50,16.5199,-13.0421
LS-15093_S55_E1-50,7.93095,13.5074
LS-15093_S56_E1-50,2.64093,-25.7658
LS-15093_S57_E1-50,3.58394,19.8214
LS-15093_S58_E1-50,4.39005,25.8358
LS-15093_S59_E1-50,8.64317,8.49756
LS-15093_S60_E1-50,16.6724,-6.08151
LS-15093_S62_E1-50,8.55939,-45.2523
LS-15093_S63_E1-50,-5.98712,-27.2378
LS-15093_S65_E1-50,20.0476,-12.9544
LS-15093_S66_E1-50,46.7025,-3.78299
LS-15093_S69_E1-50,3.83144,19.8834
LS-15093_S70_E1-50,-30.7721,-21.3818
LS-15093_S71_E1-50,18.4886,-13.9141
LS-15093_S72_E1-50,39.5464,18.2988
LS-15093_S73_E1-50,1.69454,-25.4451
LS-15093_S74_E1-50,7.76552,34.3001
LS-15093_S75_E1-50,20.3695,-8.20539
LS-15093_S77_E1-50,1.72711,-25.387
LS-15093_S78_E1-50,16.1644,-5.79747
LS-15093_S82_E1-50,12.547,8.42893
LS-15093_S83_E1-50,19.7001,18.5506
LS-15093_S84_E1-50,-18.1573,-17.3915
LS-15093_S86_E1-50,19.6212,-10.2973
LS-15093_S87_E1-50,-16.7962,-13.0626
LS-15093_S89_E1-50,21.0697,-30.6018
LS-15093_S91_E1-50,1.80185,-25.0906
LS-15093_S92_E1-50,2.4731,-9.27099
LS-15093_S93_E1-50,15.5796,-8.04209
LS-15093_S94_E1-50,-1.73051,51.0122
LS-15093_S95_E1-50,44.3536,-2.68785
LS-15093_S96_E1-50,37.6993,16.5456
LS-15094_S01_E1-50,26.7299,-12.7677
LS-15094_S02_E1-50,-0.493816,-30.4217
LS-15094_S03_E1-50,-4.36244,51.4749
LS-15094_S04_E1-50,-5.6727,-23.8987
LS-15094_S05_E1-50,-31.315,-23.0625
LS-15094_S06_E1-50,8.77237,-44.7808
LS-15094_S09_E1-50,-6.02046,-31.5831
LS-15094_S10_E1-50,-31.0317,-23.8133
LS-15094_S11_E1-50,-18.2159,-18.7848
LS-15094_S12_E1-50,17.475,-5.2505
LS-15094_S13_E1-50,0.124776,-28.0688
LS-15094_S14_E1-50,0.740572,-25.6977
LS-15094_S15_E1-50,14.6878,-11.6961
LS-15094_S25_E1-50,-3.34242,-29.8914
LS-15094_S26_E1-50,7.80147,-47.4049
LS-15094_S27_E1-50,-16.3746,-6.7559
LS-15094_S28_E1-50,-9.2942,-21.9012
LS-15094_S29_E1-50,-3.10004,51.3579
LS-15094_S30_E1-50,-49.3908,1.41457
LS-15094_S31_E1-50,26.5432,-14.8356
LS-15094_S33_E1-50,-24.9746,-3.02703
LS-15094_S34_E1-50,1.70178,-26.5154
LS-15094_S36_E1-50,1.25076,-26.5361
LS-15094_S37_E1-50,27.251,-13.644
LS-15094_S38_E1-50,1.31149,-27.7347
LS-15094_S39_E1-50,20.4078,-8.77102
LS-15094_S41_E1-50,18.7429,-8.83336
LS-15094_S43_E1-50,19.4858,-30.9466
LS-15094_S44_E1-50,-25.2725,-2.73323
LS-15094_S45_E1-50,-0.433676,-28.3066
LS-15094_S46_E1-50,8.65525,8.51906
LS-15094_S47_E1-50,-30.6958,-23.738
LS-15094_S49_E1-50,1.30056,-26.5434
LS-15094_S50_E1-50,19.7992,-31.0296
LS-15094_S51_E1-50,9.61351,-47.9823
LS-15094_S52_E1-50,-7.55126,-23.6746
LS-15094_S53_E1-50,20.3836,-8.74266
LS-15094_S54_E1-50,26.018,6.89709
LS-15094_S55_E1-50,-6.31556,51.5081
LS-15094_S57_E1-50,1.7336,-31.5426
LS-15094_S58_E1-50,9.35034,-44.2365
LS-15094_S59_E1-50,-31.7763,-0.250852
LS-15094_S61_E1-50,20.1509,-31.1118
LS-15094_S62_E1-50,15.4105,-11.7126
LS-15094_S63_E1-50,16.0268,-11.5702
LS-15094_S66_E1-50,-0.306622,-28.6583
LS-15094_S67_E1-50,3.81684,-11.3653
LS-15094_S68_E1-50,11.7568,-47.3264
LS-15094_S69_E1-50,2.36855,-32.4087
LS-15094_S70_E1-50,8.20251,-44.9354
LS-15094_S71_E1-50,-16.873,-14.5331
LS-15094_S73_E1-50,-3.36489,-30.5525
LS-15094_S74_E1-50,24.6955,-6.64416
LS-15094_S75_E1-50,16.6399,-10.1544
LS-15094_S76_E1-50,0.17764,-28.2695
LS-15094_S77_E1-50,-0.981046,-28.953
LS-15094_S78_E1-50,-32.7294,-21.5178
LS-15094_S79_E1-50,13.6278,24.9935
LS-15094_S80_E1-50,32.582,-24.537
LS-15094_S82_E1-50,10.4787,-47.4582
LS-15094_S83_E1-50,17.8975,-8.31326
LS-15094_S84_E1-50,-2.84398,54.1093
LS-15094_S85_E1-50,2.39727,-24.8179
LS-15094_S86_E1-50,0.651978,-31.7086
LS-15094_S87_E1-50,11.653,8.0306
LS-15094_S89_E1-50,-17.2824,-16.0144
LS-15094_S90_E1-50,27.4317,-13.8329
LS-15094_S91_E1-50,19.37,-31.3471
LS-15094_S92_E1-50,21.1712,-9.65681
LS-15094_S93_E1-50,18.7519,-28.6141
LS-15302_S01_E1-50,7.60694,-47.2035
LS-15302_S02_E1-50,-0.0159661,-25.3897
LS-15302_S03_E1-50,17.8415,-15.3713
LS-15302_S04_E1-50,-4.01288,53.4787
